상호명,시군구명,행정동명,place_id,lat,lng,작성자,평점,리뷰,작성일,언어
가마쿠라도산점,강남구,압구정동,%EA%B0%80%EB%A7%88%EC%BF%A0%EB%9D%BC,,,소소한한라봉 (소소),3,독특한 카페입니다. 모찌를 메인으로 판매하고 있어서 커피와 세트로 판매하며 가격은 저렴한 편입니다. 우리가 먹던 떡보다 부드럽고 말캉한 느낌입니다. 내부는 조용한 편이여서 잠시 쉬어가기 좋은 거 같아요.,3달 전,ko
가마쿠라도산점,강남구,압구정동,%EA%B0%80%EB%A7%88%EC%BF%A0%EB%9D%BC,,,Su,4,이 주변에 말차라떼를 잘 하는 집이 드물어서 가마쿠라를 발견했을때 진짜 넘넘 방가웠음. 진짜 찌인한 말차라떼를 맛볼 수 있는 곳!!,1달 전,ko
가마쿠라도산점,강남구,압구정동,%EA%B0%80%EB%A7%88%EC%BF%A0%EB%9D%BC,,,김영길,5,"압구정 가마쿠라 도산점에 다녀왔어요! 일본식 디저트를 사랑하는 저에게는 정말 반가운 곳이었답니다. 특히 와라비모찌는 정말 맛있었어요. 쫀득한 식감과 부드러운 흑당 시럽이 어우러져 입안에서 살살 녹는 느낌이었답니다. 스트로베리 요거트(M) 7,800원은 상큼한 딸기와 크리미한 요거트의 조화가 환상적이었고, 와라비모찌가 토핑으로 올라가니 더욱 특별했어요. 또, 말차(M) 6,800원은 깊은 풍미가 인상적이었고, 역시 와라비모찌와의 조합이 일품이었답니다. 아늑한 분위기에서 소중한 사람과 함께하기 좋은 카페라 추천해요! 꼭 방문해보세요!",10달 전,ko
가마쿠라도산점,강남구,압구정동,%EA%B0%80%EB%A7%88%EC%BF%A0%EB%9D%BC,,,소나쀼,5,와라비 모찌 먹으러 가시려면 여기 추천!! 도쿄에서 먹은것보다는 와라비 모찌 자체가 많이 달아서 흑당없이도 너무 단맛이 강하지만...그래도 도쿄가기전에 와라비모찌 그리울때 먹기 너무 좋아요~~^^ 넉넉히 구매해서 냉동했다가 꺼내먹어도 식감이 그대로 유지되네요~~^^ 그래서 일주일에 한번 가서 사옵니다. 흑당없이 떡만 팔아주셨으면 좋겠는데..그런 옵션은 없어요... 주차는 안됨!!,8달 전,ko
가마쿠라도산점,강남구,압구정동,%EA%B0%80%EB%A7%88%EC%BF%A0%EB%9D%BC,,,leah lee,2,처음 먹어본 일본식 디저트 떡이라 생각했는데 식감이 너무 물컹거려서 놀랐어요. 확실히 호불호 갈릴 식감 저는 불호.,1년 전,ko
가마쿠라도산점,강남구,압구정동,%EA%B0%80%EB%A7%88%EC%BF%A0%EB%9D%BC,,,김덕열,3,일본에서 먹어본 맛과 너무 차이가 나서 실망했어요ㅠㅠ 말차는 쓰구 와라비모찌는 며칠된듯 신선하지 않았어요. 선도 관리가 안되는 느낌?,4달 전,ko
가마쿠라도산점,강남구,압구정동,%EA%B0%80%EB%A7%88%EC%BF%A0%EB%9D%BC,,,Robert Han,3,두번 방문했는데 딱히 취향은 아니었고 일본식 간식을 경험해보거 싶으면 괜찮음,2주 전,ko
가마쿠라도산점,강남구,압구정동,%EA%B0%80%EB%A7%88%EC%BF%A0%EB%9D%BC,,,minji kim,5,교토에서 정말 맛있게 먹었는데 그맛그대로 한국에서 먹을수 있다니 감동입니다,1년 전,ko
가마쿠라도산점,강남구,압구정동,%EA%B0%80%EB%A7%88%EC%BF%A0%EB%9D%BC,,,BRIANNA “소피” Sopi,5,"와리비모찌 맛있음,♡☆☆",1년 전,ko
가마쿠라도산점,강남구,압구정동,%EA%B0%80%EB%A7%88%EC%BF%A0%EB%9D%BC,,,HJ,5,"1년 전서비스테이크아웃식사 유형브런치1인당 가격₩10,000~20,000음식: 5서비스: 5분위기: 5",1년 전,ko
가마쿠라도산점,강남구,압구정동,%EA%B0%80%EB%A7%88%EC%BF%A0%EB%9D%BC,,,Ys YES,4,Ys YES지역 가이드 · 3달 전,3달 전,ko
강남주막다방,강남구,신사동,%EA%B0%95%EB%82%A8%EC%A3%BC%EB%A7%89%EB%8B%A4%EB%B0%A9,,,나는민아씨,5,음식하나하나 다 맛있어요 매장내부도 굉장히커서 단체모임하기에도 너무 좋겠더라구요 다음에 또 방문해서 여러가지 더 시켜먹을래요,6달 전,ko
강남주막다방,강남구,신사동,%EA%B0%95%EB%82%A8%EC%A3%BC%EB%A7%89%EB%8B%A4%EB%B0%A9,,,MJ Kim,5,완전 레트로. 스크린골프방도 하나 있음.DJ박스도 있음. 신청곡도 받음.막걸리도 있음. 주인장 언니 매우 친절함. 이쁨^^실내에 화장실 있음.,6달 전,ko
강남주막다방,강남구,신사동,%EA%B0%95%EB%82%A8%EC%A3%BC%EB%A7%89%EB%8B%A4%EB%B0%A9,,,Yang Andrew,4,dj방이 있어 신청곡 가능. 단체손님 받을때 협조가 잘 안됨. 메뉴는 괜찮은편,1년 전,ko
강남주막다방,강남구,신사동,%EA%B0%95%EB%82%A8%EC%A3%BC%EB%A7%89%EB%8B%A4%EB%B0%A9,,,TK S,3,TK S지역 가이드 · 1년 전음식: 3서비스: 3분위기: 3,1년 전,ko
